Wavelength,Intensity # Note: second half of data set dropped
1150.1835520355708,1380
1154.3885793732516,1370
1158.5915950554227,1384
1162.7926001913293,1422
1166.991595889478,1371
1171.1885832576118,1360
1175.3835634027382,1352
1179.5765374310977,1418
1183.7675064481919,1396
1187.9564715587621,1379
1192.143433866815,1368
1196.3283944756004,1371
1200.5113544876222,1446
1204.6923150046387,1349
1208.8712771276587,1386
1213.0482419569489,1403
1217.2232105920339,1376
1221.3961841316886,1353
1225.5671636739498,1395
1229.7361503160973,1390
1233.9031451546907,1367
1238.0681492855365,1428
1242.2311638036954,1417
1246.3921898035042,1399
1250.5512283785356,1386
1254.7082806216495,1403
1258.8633476249524,1433
1263.0164304798091,1427
1267.1675302768635,1473
1271.3166481060143,1423
1275.4637850564177,1429
1279.6089422165096,1426
1283.7521206739802,1466
1287.8933215157922,1410
1292.0325458281659,1391
1296.1697946966051,1424
1300.3050692058641,1409
1304.4383704399806,1410
1308.5696994822538,1411
1312.6990574152551,1425
1316.8264453208285,1404
1320.9518642800831,1392
1325.0753153734113,1413
1329.1967996804633,1398
1333.3163182801763,1430
1337.4338722507528,1434
1341.5494626696745,1436
1345.6630906136961,1355
1349.7747571588516,1428
1353.8844633804438,1396
1357.9922103530589,1431
1362.0979991505628,1486
1366.2018308460938,1445
1370.3037065120661,1457
1374.403627220192,1440
1378.5015940414414,1441
1382.5976080460787,1381
1386.6916703036441,1457
1390.7837818829612,1442
1394.8739438521407,1490
1398.9621572785727,1436
1403.0484232289273,1418
1407.1327427691685,1457
1411.2151169645404,1448
1415.2955468795662,1420
1419.3740335780712,1458
1423.4505781231564,1441
1427.5251815772099,1463
1431.5978450019211,1442
1435.6685694582447,1430
1439.7373560064552,1416
1443.804205706092,1429
1447.8691196159925,1492
1451.9320987942956,1510
1455.9931442984162,1504
1460.0522571850779,1517
1464.1094385102879,1505
1468.1646893293437,1486
1472.2180106968481,1532
1476.2694036666908,1435
1480.318869292063,1403
1484.3664086254503,1455
1488.4120227186322,1473
1492.4557126226864,1425
1496.4974793879956,1406
1500.5373240642293,1426
1504.5752477003662,1435
1508.6112513446824,1419
1512.6453360447558,1410
1516.6775028474622,1419
1520.7077527989786,1422
1524.7360869447948,1429
1528.7625063296837,1490
1532.7870119977415,1444
1536.8096049923588,1442
1540.8302863562349,1393
1544.8490571313669,1440
1548.8659183590717,1412
1552.880871079964,1385
1556.8939163339564,1461
1560.9050551602922,1429
1564.9142885975052,1491
1568.9216176834379,1479
1572.9270434552564,1484
1576.9305669494242,1451
1580.9321892017251,1475
1584.931911247244,1420
1588.9297341203819,1412
1592.925658854856,1442
1596.9196864836958,1406
1600.9118180392397,1473
1604.9020545531494,1449
1608.8903970563879,1385
1612.8768465792491,1439
1616.8614041513283,1466
1620.8440708015514,1447
1624.8248475581495,1427
1628.8037354486842,1372
1632.7807355000223,1408
1636.7558487383612,1415
1640.7290761892036,1472
1644.7004188773935,1458
1648.6698778270766,1455
1652.6374540617253,1369
1656.6031486041466,1429
1660.5669624764487,1459
1664.5288967000743,1417
1668.4889522957928,1422
1672.4471302836937,1421
1676.4034316831967,1426
1680.3578575130305,1421
1684.3104087912761,1450
1688.2610865353126,1392
1692.2098917618714,1440
1696.1568254869962,1410
1700.101888726058,1364
1704.0450824937689,1396
1707.9864078041719,1410
1711.9258656706115,1446
1715.8634571058028,1388
1719.7991831217623,1419
1723.7330447298555,1424
1727.6650429407637,1390
1731.5951787645208,1419
1735.5234532104841,1403
1739.4498672873378,1422
1743.3744220031149,1437
1747.2971183651716,1454
1751.2179573802132,1423
1755.1369400542644,1395
1759.0540673927026,1400
1762.9693404002392,1419
1766.8827600809091,1404
1770.7943274381068,1397
1774.7040434745541,1420
1778.6119091923138,1437
1782.5179255927906,1402
1786.4220936767306,1394
1790.3244144442178,1380
1794.2248888946888,1395
1798.1235180269032,1441
1802.0203028389842,1432
1805.9152443283856,1413
1809.80834349191,1443
1813.6996013257049,1412
1817.5890188252633,1379
1821.4765969854234,1394
1825.3623368003718,1370
1829.2462392636371,1412
1833.1283053681036,1406
1837.0085361059937,1440
1840.8869324688858,1421
1844.7634954477071,1410
1848.63822603273,1401
1852.5111252135866,1413
1856.3821939792433,1418
1860.251433318037,1404
1864.11884421765,1396
1867.984427665102,1406
1871.8481846467912,1433
1875.7101161484534,1410
1879.5702231551804,1409
1883.428506651424,1400
1887.284967620988,1405
1891.1396070470291,1392
1894.9924259120635,1414
1898.8434251979743,1401
1902.6926058859754,1409
1906.5399689566657,1426
1910.3855153899931,1432
1914.2292461652578,1397
1918.0711622611343,1411
1921.9112646556387,1429
1925.7495543261721,1419
1929.5860322494627,1450
1933.4206994016422,1424
1937.2535567581654,1403
1941.0846052938796,1374
1944.913845982981,1415
1948.7412797990291,1397
1952.5669077149541,1387
1956.3907307030458,1412
1960.2127497349647,1448
1964.0329657817347,1423
1967.8513798137465,1433
1971.6679928007579,1426
1975.4828057118975,1404
1979.2958195156534,1413
1983.107035179899,1453
1986.9164536718527,1446
1990.7240759581255,1358
1994.5299030046881,1408
1998.3339357768891,1406
2002.1361752394332,1371
2005.9366223564175,1436
2009.7352780912915,1364
2013.5321434068937,1420
2017.3272192654331,1386
2021.1205066284856,1446
2024.9120064570088,1386
2028.7017197113346,1389
2032.4896473511617,1418
2036.2757903355741,1408
2040.0601496230338,1392
2043.8427261713732,1372
2047.62352093781,1426
2051.40253487894,1430
2055.1797689507221,1401
2058.9552241085185,1387
2062.7289013070513,1402
2066.500801500435,1426
2070.2709256421585,1450
2074.0392746850994,1389
2077.8058495815058,1392
2081.570651283022,1406
2085.3336807406668,1442
2089.0949389048365,1400
2092.854426725331,1405
2096.6121451513209,1444
2100.3680951313509,1389
2104.1222776133764,1399
2107.8746935447234,1444
2111.6253438721105,1391
2115.3742295416378,1370
2119.121351498794,1434
2122.8667106884604,1387
2126.6103080549074,1380
2130.3521445417828,1413
2134.0922210921417,1432
2137.8305386484135,1449
2141.5670981524308,1423
2145.3019005454116,1428
2149.0349467679625,1407
2152.76623776009,1445
2156.4957744611893,1377
2160.2235578100408,1443
2163.9495887448356,1420
2167.6738682031464,1455
2171.3963971219418,1367
2175.1171764375977,1422
2178.8362070858639,1424
2182.5534900019047,1408
2186.269026120277,1381
2189.98281637493,1445
2193.6948616992158,1394
2197.4051630258837,1433
2201.1137212870781,1362
2204.8205374143472,1404
2208.5256123386425,1404
2212.2289469903008,1453
2215.9305422990765,1441
2219.6303991941168,1356
2223.328518603972,1415
2227.0249014565961,1446
2230.7195486793462,1390
2234.4124611989755,1434
2238.1036399416553,1417
2241.7930858329419,1396
2245.4807997978169,1378
2249.1667827606543,1403
2252.8510356452316,1397
2256.5335593747441,1419
2260.2143548717868,1400
2263.8934230583654,1396
2267.5707648558855,1399
2271.246381185163,1386
2274.9202729664394,1390
2278.5924411193373,1395
2282.2628865629085,1397
2285.9316102156117,1419
2289.5986129953126,1379
2293.2638958192947,1391
2296.9274596042378,1365
2300.5893052662504,1379
2304.2494337208518,1359
2307.9078458829645,1370
2311.5645426669325,1371
2315.2195249865108,1418
2318.872793754872,1400
2322.5243498845957,1377
2326.1741942876943,1385
2329.8223278755686,1407
2333.4687515590667,1401
2337.1134662484328,1413
2340.7564728533362,1428
2344.3977722828604,1407
2348.0373654455179,1390
2351.675253249221,1370
2355.3114366013178,1378
2358.9459164085711,1433
2362.5786935771648,1420
2366.2097690127011,1397
2369.8391436202073,1424
2373.4668183041249,1397
2377.0927939683279,1423
2380.7170715161046,1404
2384.3396518501759,1410
2387.9605358726767,1392
2391.5797244851674,1429
2395.1972185886407,1437
2398.8130190835072,1466
2402.4271268696029,1444
2406.0395428461925,1434
2409.6502679119731,1426
2413.2593029650579,1456
2416.8666489029911,1424
2420.4723066227471,1446
2424.0762770207257,1483
2427.6785609927629,1519
2431.2791594341143,1492
2434.878073239468,1477
2438.47530330295,1467
2442.0708505181119,1432
2445.6647157779244,1463
2449.2568999748164,1453
2452.8474040006222,1414
2456.4362287466247,1409
2460.0233751035394,1429
2463.608843961505,1439
2467.192636210104,1391
2470.7747527383508,1422
2474.3551944346927,1421
2477.9339621870131,1416
2481.5110568826331,1445
2485.0864794083118,1410
2488.6602306502409,1377
2492.2323114940482,1451
2495.8027228248011,1443
2499.3714655270123,1446
2502.938540484618,1370
2506.5039485810139,1406
2510.0676906990138,1397
2513.629767720884,1421
2517.1901805283323,1407
2520.7489300025009,1380
2524.3060170239751,1399
2527.8614424727893,1434
2531.4152072284051,1363
2534.9673121697451,1400
2538.5177581751595,1383
2542.0665461224544,1429
2545.6136768888682,1416
2549.1591513510939,1410
2552.7029703852659,1419
2556.245134866962,1392
2559.7856456712088,1400
2563.324503672482,1412
2566.8617097446931,1381
