Wavelength,Intensity # Note: second half of data set dropped
666.21868638175874,1365
670.65622418737985,1348
675.0916211736112,1317
679.52487853838829,1377
683.95599747879533,1356
688.38497919110887,1357
692.81182487075421,1334
697.23653571234536,1351
701.659112909656,1426
706.07955765563747,1413
710.497871142401,1393
714.91405456125722,1374
719.32810910266562,1428
723.74003595627073,1387
728.14983631089854,1448
732.55751135453829,1376
736.96306227437162,1369
741.36649025674342,1399
745.76779648719094,1377
750.166982150422,1456
754.56404843031851,1391
758.9589965099658,1438
763.3518275716051,1391
767.7425427966773,1404
772.13114336579747,1382
776.517630458773,1390
780.90200525458567,1408
785.28426893140931,1442
789.66442266659942,1463
794.04246763670744,1412
798.41840501745537,1459
802.79223598377212,1449
807.16396170976077,1431
811.53358336873134,1419
815.90110213315711,1434
820.26651917473646,1402
824.629835664331,1443
828.99105277200579,1455
833.35017166702892,1454
837.70719351783919,1384
842.06211949209683,1403
846.41495075663988,1441
850.765688477506,1433
855.114333819929,1423
859.46088794834577,1453
863.80535202638566,1464
868.1477272168886,1446
872.4880146818723,1452
876.82621558257961,1415
881.16233107943117,1390
885.49636233207275,1455
889.82831049933884,1444
894.15817673926358,1456
898.48596220909894,1448
902.81166806529291,1453
907.13529546349673,1404
911.45684555857224,1452
915.77631950459181,1446
920.09371845482747,1446
924.40904356176543,1479
928.72229597709156,1493
933.03347685171684,1446
937.34258733574825,1441
941.64962857851788,1418
945.95460172855383,1461
950.2575079336093,1428
954.55834834064808,1436
958.85712409583721,1473
963.15383634457248,1470
967.4484862314639,1459
971.74107490032839,1417
976.03160349420432,1466
980.32007315534793,1438
984.60648502524054,1446
988.89084024455951,1494
993.17313995323639,1471
997.45338529039145,1499
1001.7315773943774,1482
1006.0077174027792,1489
1010.2818064523854,1523
1014.5538456792201,1524
1018.8238362185293,1474
1023.0917792047767,1496
1027.3576757716619,1517
1031.6215270520988,1519
1035.8833341782374,1492
1040.1430982814454,1493
1044.4008204923302,1495
1048.6565019407171,1462
1052.9101437556674,1488
1057.1617470654637,1468
1061.4113129976322,1502
1065.6588426789167,1500
1069.9043372353008,1512
1074.1477977920003,1508
1078.38922547346,1459
1082.6286214033644,1477
1086.8659867046335,1526
1091.1013224994094,1475
1095.3346299090808,1508
1099.5659100542798,1478
1103.79516405486,1473
1108.0223930299253,1527
1112.2475980978161,1491
1116.4707803761012,1498
1120.6919409816073,1547
1124.9110810303828,1517
1129.1282016377336,1527
1133.3433039182055,1549
1137.556388985573,1532
1141.7674579528684,1543
1145.9765119323602,1546
1150.1835520355708,1528
1154.3885793732516,1570
1158.5915950554227,1558
1162.7926001913293,1560
1166.991595889478,1498
1171.1885832576118,1517
1175.3835634027382,1531
1179.5765374310977,1524
1183.7675064481919,1566
1187.9564715587621,1543
1192.143433866815,1521
1196.3283944756004,1552
1200.5113544876222,1583
1204.6923150046387,1572
1208.8712771276587,1536
1213.0482419569489,1518
1217.2232105920339,1504
1221.3961841316886,1523
1225.5671636739498,1531
1229.7361503160973,1568
1233.9031451546907,1559
1238.0681492855365,1560
1242.2311638036954,1579
1246.3921898035042,1562
1250.5512283785356,1551
1254.7082806216495,1529
1258.8633476249524,1557
1263.0164304798091,1570
1267.1675302768635,1612
1271.3166481060143,1559
1275.4637850564177,1578
1279.6089422165096,1552
1283.7521206739802,1557
1287.8933215157922,1610
1292.0325458281659,1547
1296.1697946966051,1649
1300.3050692058641,1602
1304.4383704399806,1593
1308.5696994822538,1520
1312.6990574152551,1542
1316.8264453208285,1542
1320.9518642800831,1609
1325.0753153734113,1582
1329.1967996804633,1572
1333.3163182801763,1553
1337.4338722507528,1588
1341.5494626696745,1581
1345.6630906136961,1516
1349.7747571588516,1538
1353.8844633804438,1573
1357.9922103530589,1610
1362.0979991505628,1578
1366.2018308460938,1546
1370.3037065120661,1557
1374.403627220192,1530
1378.5015940414414,1611
1382.5976080460787,1571
1386.6916703036441,1569
1390.7837818829612,1596
1394.8739438521407,1608
1398.9621572785727,1563
1403.0484232289273,1561
1407.1327427691685,1547
1411.2151169645404,1507
1415.2955468795662,1506
1419.3740335780712,1600
1423.4505781231564,1551
1427.5251815772099,1562
1431.5978450019211,1575
1435.6685694582447,1622
1439.7373560064552,1589
1443.804205706092,1580
1447.8691196159925,1594
1451.9320987942956,1624
1455.9931442984162,1618
1460.0522571850779,1623
1464.1094385102879,1611
1468.1646893293437,1592
1472.2180106968481,1589
1476.2694036666908,1590
1480.318869292063,1600
1484.3664086254503,1561
1488.4120227186322,1592
1492.4557126226864,1627
1496.4974793879956,1557
1500.5373240642293,1579
1504.5752477003662,1544
1508.6112513446824,1617
1512.6453360447558,1585
1516.6775028474622,1572
1520.7077527989786,1594
1524.7360869447948,1625
1528.7625063296837,1636
1532.7870119977415,1665
1536.8096049923588,1575
1540.8302863562349,1555
1544.8490571313669,1602
1548.8659183590717,1640
1552.880871079964,1672
1556.8939163339564,1565
1560.9050551602922,1579
1564.9142885975052,1561
1568.9216176834379,1529
1572.9270434552564,1618
1576.9305669494242,1600
1580.9321892017251,1644
1584.931911247244,1638
1588.9297341203819,1611
1592.925658854856,1607
1596.9196864836958,1581
